internal_id,name,address1,address2,city,region,postal_code,country,phone,latitude,longitude,email,description,url1,url2,tags
11,Randstad Education - Manchester Primary,"5th Floor, St James' Buildings",79 Oxford Street,Manchester,,M1 6FQ,GB,0161 200 1906,,,manchesterprimary@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/manchester-primary-education_73/,,Education
12,Randstad Education - Manchester Secondary,5th Floor St James Buildings,79 Oxford Street,Manchester,,M1 6FQ,GB,0161 200 1903,,,manchestersecondary@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/manchester-secondary-education_74/,,Education
13,Randstad Education - Manchester SEN/EY,5th Floor St James Buildings,79 Oxford Street,Manchester,,M1 6FQ,GB,0161 200 1904,,,manchestersen-ey@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/manchester-seney-education_75/,,Education
14,Randstad Education - Nottingham,10 Castle Quay,Castle Boulevard,Nottingham,,NG7 1FW,GB,0115 950 6200,,,nottingham@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/nottingham-teaching-jobs-randstad-education-nottingham-office_79/,,"Education, Primary , Secondary , SEN "
15,Randstad Education - Plymouth,Mayflower House,178 -184 Armada Way,Plymouth,,PL1 1LD,GB,01752 269780,,,plymouth@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/teaching-jobs-randstad-education-plymouth-office_80/,,"Education, Primary , Secondary , SEN "
16,Randstad Education - Preston,7/8 Winckley Street,,Preston,,PR1 2AA,GB,01772 259966,,,preston@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/preston-teaching-jobs-randstad-education-preston-office_81/,,"Education, Primary , Secondary , SEN "
17,Randstad Education - Sheffield,"4th Floor, Orchard House",Leopold Street,Sheffield,,S1 2GY,GB,0114 274 3765,,,sheffield@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/sheffield-teaching-jobs-randstad-education-sheffield-office_83/,,"Education, Primary , Secondary , SEN "
18,Randstad Education - Hull,"Suite B Anchor House, The Maltings",Silvester Street,Hull,,HU1 3HA,GB,01482 210212,,,hull@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/hull-teaching-jobs-randstad-education-hull-office_85/,,"Education, Primary , Secondary , SEN "
19,Randstad Education - Luton,"South Building, Randstad Court",Laporte Way,Luton,,LU4 8SB,GB,01582 811878,,,luton@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/luton-teaching-jobs-randstad-education-luton-office_89/,,"Education, Primary , Secondary , SEN "
20,Randstad Education - Leadership Practice,100 Grays Inn Road,,London,,WC1X 8AL,GB,0207 400 6060,,,leadership@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/school-leadership-jobs-randstad-education-leadership-practice_90/,,Education
21,Randstad Education - Chester,"Suite 3C, 3rd Floor, Merchants House",Crook Street,Chester,,CH1 2BE,GB,01244 500425,,,chester@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/chester-teaching-jobs-randstad-education-chester-office_134/,,"Education, Early Years , Primary , Secondary , SEN "
22,Randstad Education - Blackpool Education Supply Service,Progress House,Clifton Road,Blackpool,,FY4 4US,GB,01253 477257,,,blackpoolsupport@randstadeducation.com,,https://www.randstad.co.uk/job-seeker/our-offices/blackpool-education-jobs-blackpool-education-supply-service_152/,,Education
23,Randstad Education - Hertfordshire Education Supply Service,"Randstad Court,","Laporte Way,",Hertfordshire,,LU4 8SB,GB,0844 880 2577,,,hesssupport@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/hertfordshire-education-jobs-hertfordshire-education-supply-service_153/,,"Education, Primary , Secondary , SEN "
24,Randstad Education - London Primary North,6th Floor,100 Grays Inn Road,London,,WC1X 8AL,GB,0207 400 6022,,,primarynorth@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/london-primary-north-teaching-jobs-randstad-education-office_294/,,Education
25,Randstad Education - London Primary South,6th Floor,100 Grays Inn Road,London,,WC1X 8AL,GB,0207 400 6022,,,southlondon@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/london-primary-south-teaching-jobs-randstad-education-office_295/,,Education
26,Randstad Education - London Secondary & SEN,6th Floor,100 Grays Inn Road,London,,WC1X 8AL,GB,0207 400 6035,,,londonsecondary@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/london-secondary-sen-teaching-jobs-randstad-education-office_296/,,Education
